#️⃣ <code>:hash:</code>
🎭 <code>:performing_arts:</code>
🎮 <code>:video_game:</code>
🎯 <code>:dart:</code>
🎰 <code>:slot_machine:</code>
🎱 <code>:8ball:</code>
🎲 <code>:game_die:</code>
🎳 <code>:bowling:</code>
🎴 <code>:flower_playing_cards:</code>
🎵 <code>:musical_note:</code>
🎶 <code>:notes:</code>
🎷 <code>:saxophone:</code>
🎸 <code>:guitar:</code>
🎹 <code>:musical_keyboard:</code>
🎺 <code>:trumpet:</code>
🎻 <code>:violin:</code>
🎼 <code>:musical_score:</code>
🎽 <code>:running_shirt_with_sash:</code>
🎾 <code>:tennis:</code>
🎿 <code>:ski:</code>
🏀 <code>:basketball:</code>
🏁 <code>:checkered_flag:</code>
🏂 <code>:snowboarder:</code>
🏃 <code>:runner:</code>
🏃 <code>:running:</code>
🏄 <code>:surfer:</code>
🏆 <code>:trophy:</code>
🏇 <code>:horse_racing:</code>
🏈 <code>:football:</code>
🏉 <code>:rugby_football:</code>
🏊 <code>:swimmer:</code>
🏢 <code>:office:</code>
🏣 <code>:post_office:</code>
🏤 <code>:european_post_office:</code>
🏥 <code>:hospital:</code>
🏦 <code>:bank:</code>
🏧 <code>:atm:</code>
🏨 <code>:hotel:</code>
🏩 <code>:love_hotel:</code>
🏪 <code>:convenience_store:</code>
🏬 <code>:department_store:</code>
🏭 <code>:factory:</code>
🏮 <code>:izakaya_lantern:</code>
🏯 <code>:japanese_castle:</code>
🏰 <code>:european_castle:</code>
🐀 <code>:rat:</code>
🐁 <code>:mouse2:</code>
🐂 <code>:ox:</code>
🐃 <code>:water_buffalo:</code>
🐄 <code>:cow2:</code>
🐅 <code>:tiger2:</code>
🐆 <code>:leopard:</code>
🐇 <code>:rabbit2:</code>
🐈 <code>:cat2:</code>
🐉 <code>:dragon:</code>
🐊 <code>:crocodile:</code>
🐋 <code>:whale2:</code>
🐌 <code>:snail:</code>
🐍 <code>:snake:</code>
🐎 <code>:racehorse:</code>
🐏 <code>:ram:</code>
🐐 <code>:goat:</code>
🐑 <code>:sheep:</code>
🐒 <code>:monkey:</code>
🐓 <code>:rooster:</code>
🐔 <code>:chicken:</code>
🐕 <code>:dog2:</code>
🐖 <code>:pig2:</code>
🐗 <code>:boar:</code>
🐘 <code>:elephant:</code>
🐙 <code>:octopus:</code>
🐚 <code>:shell:</code>
🐛 <code>:bug:</code>
🐜 <code>:ant:</code>
🐝 <code>:honeybee:</code>
🐟 <code>:fish:</code>
🐠 <code>:tropical_fish:</code>
🐡 <code>:blowfish:</code>
🐢 <code>:turtle:</code>
🐣 <code>:hatching_chick:</code>
🐤 <code>:baby_chick:</code>
🐥 <code>:hatched_chick:</code>
🐦 <code>:bird:</code>
🐧 <code>:penguin:</code>
🐨 <code>:koala:</code>
🐩 <code>:poodle:</code>
🐪 <code>:dromedary_camel:</code>
🐫 <code>:camel:</code>
🐬 <code>:dolphin:</code>
🐭 <code>:mouse:</code>
🐮 <code>:cow:</code>
🐯 <code>:tiger:</code>
🐰 <code>:rabbit:</code>
🐱 <code>:cat:</code>
🐲 <code>:dragon_face:</code>
🐳 <code>:whale:</code>
🐴 <code>:horse:</code>
🐵 <code>:monkey_face:</code>
🐶 <code>:dog:</code>
🐷 <code>:pig:</code>
🐸 <code>:frog:</code>
🐹 <code>:hamster:</code>
🐺 <code>:wolf:</code>
🐻 <code>:bear:</code>
🐼 <code>:panda_face:</code>
🐽 <code>:pig_nose:</code>
🐾 <code>:feet:</code>
🐾 <code>:paw_prints:</code>
👀 <code>:eyes:</code>
👂 <code>:ear:</code>
👃 <code>:nose:</code>
👄 <code>:lips:</code>
👅 <code>:tongue:</code>
👆 <code>:point_up_2:</code>
👇 <code>:point_down:</code>
👈 <code>:point_left:</code>
👉 <code>:point_right:</code>
👊 <code>:facepunch:</code>
👊 <code>:punch:</code>
👋 <code>:wave:</code>
👌 <code>:ok_hand:</code>
👍 <code>:+1:</code>
👍 <code>:thumbsup:</code>
👎 <code>:-1:</code>
👎 <code>:thumbsdown:</code>
👏 <code>:clap:</code>
👐 <code>:open_hands:</code>
👑 <code>:crown:</code>
👒 <code>:womans_hat:</code>
👓 <code>:eyeglasses:</code>
👔 <code>:necktie:</code>
👕 <code>:shirt:</code>
👕 <code>:tshirt:</code>
👖 <code>:jeans:</code>
👗 <code>:dress:</code>
👘 <code>:kimono:</code>
👙 <code>:bikini:</code>
👚 <code>:womans_clothes:</code>
👛 <code>:purse:</code>
👜 <code>:handbag:</code>
👝 <code>:pouch:</code>
👞 <code>:mans_shoe:</code>
👞 <code>:shoe:</code>
👠 <code>:high_heel:</code>
👡 <code>:sandal:</code>
👢 <code>:boot:</code>
👤 <code>:bust_in_silhouette:</code>
👥 <code>:busts_in_silhouette:</code>
👦 <code>:boy:</code>
👧 <code>:girl:</code>
👨 <code>:man:</code>
👩 <code>:woman:</code>
👪 <code>:family:</code>
👫 <code>:couple:</code>
👬 <code>:two_men_holding_hands:</code>
👭 <code>:two_women_holding_hands:</code>
👮 <code>:cop:</code>
👯 <code>:dancers:</code>
👰 <code>:bride_with_veil:</code>
👲 <code>:man_with_gua_pi_mao:</code>
👳 <code>:man_with_turban:</code>
👴 <code>:older_man:</code>
👵 <code>:older_woman:</code>
👶 <code>:baby:</code>
👷 <code>:construction_worker:</code>
👸 <code>:princess:</code>
👹 <code>:japanese_ogre:</code>
👺 <code>:japanese_goblin:</code>
👻 <code>:ghost:</code>
👼 <code>:angel:</code>
👽 <code>:alien:</code>
👾 <code>:space_invader:</code>
👿 <code>:imp:</code>
💀 <code>:skull:</code>
💁 <code>:information_desk_person:</code>
💂 <code>:guardsman:</code>
💃 <code>:dancer:</code>
💄 <code>:lipstick:</code>
💅 <code>:nail_care:</code>
💆 <code>:massage:</code>
💇 <code>:haircut:</code>
💈 <code>:barber:</code>
💉 <code>:syringe:</code>
💊 <code>:pill:</code>
💋 <code>:kiss:</code>
💌 <code>:love_letter:</code>
💍 <code>:ring:</code>
💎 <code>:gem:</code>
💏 <code>:couplekiss:</code>
💐 <code>:bouquet:</code>
💑 <code>:couple_with_heart:</code>
💒 <code>:wedding:</code>
💓 <code>:heartbeat:</code>
💔 <code>:broken_heart:</code>
💕 <code>:two_hearts:</code>
💖 <code>:sparkling_heart:</code>
💗 <code>:heartpulse:</code>
💘 <code>:cupid:</code>
💙 <code>:blue_heart:</code>
💚 <code>:green_heart:</code>
💛 <code>:yellow_heart:</code>
💜 <code>:purple_heart:</code>
💞 <code>:revolving_hearts:</code>
💟 <code>:heart_decoration:</code>
💠 <code>:diamond_shape_with_a_dot_inside:</code>
💡 <code>:bulb:</code>
💢 <code>:anger:</code>
💣 <code>:bomb:</code>
💤 <code>:zzz:</code>
💥 <code>:boom:</code>
💥 <code>:collision:</code>
💦 <code>:sweat_drops:</code>
💧 <code>:droplet:</code>
💨 <code>:dash:</code>
💩 <code>:hankey:</code>
💩 <code>:poop:</code>
💩 <code>:shit:</code>
💪 <code>:muscle:</code>
💫 <code>:dizzy:</code>
💬 <code>:speech_balloon:</code>
💭 <code>:thought_balloon:</code>
💮 <code>:white_flower:</code>
💯 <code>:100:</code>
💰 <code>:moneybag:</code>
💱 <code>:currency_exchange:</code>
💲 <code>:heavy_dollar_sign:</code>
💳 <code>:credit_card:</code>
💴 <code>:yen:</code>
💵 <code>:dollar:</code>
💶 <code>:euro:</code>
💷 <code>:pound:</code>
💸 <code>:money_with_wings:</code>
💹 <code>:chart:</code>
💺 <code>:seat:</code>
💻 <code>:computer:</code>
💼 <code>:briefcase:</code>
💽 <code>:minidisc:</code>
💾 <code>:floppy_disk:</code>
💿 <code>:cd:</code>
📀 <code>:dvd:</code>
📁 <code>:file_folder:</code>
📂 <code>:open_file_folder:</code>
📃 <code>:page_with_curl:</code>
📄 <code>:page_facing_up:</code>
📅 <code>:date:</code>
📆 <code>:calendar:</code>
📇 <code>:card_index:</code>
📈 <code>:chart_with_upwards_trend:</code>
📉 <code>:chart_with_downwards_trend:</code>
📊 <code>:bar_chart:</code>
📋 <code>:clipboard:</code>
📌 <code>:pushpin:</code>
📍 <code>:round_pushpin:</code>
📎 <code>:paperclip:</code>
📏 <code>:straight_ruler:</code>
📐 <code>:triangular_ruler:</code>
📑 <code>:bookmark_tabs:</code>
📒 <code>:ledger:</code>
📓 <code>:notebook:</code>
📔 <code>:notebook_with_decorative_cover:</code>
📕 <code>:closed_book:</code>
📖 <code>:book:</code>
📗 <code>:green_book:</code>
📘 <code>:blue_book:</code>
📙 <code>:orange_book:</code>
📚 <code>:books:</code>
📛 <code>:name_badge:</code>
📜 <code>:scroll:</code>
📝 <code>:memo:</code>
📝 <code>:pencil:</code>
📞 <code>:telephone_receiver:</code>
📟 <code>:pager:</code>
📠 <code>:fax:</code>
📡 <code>:satellite:</code>
📢 <code>:loudspeaker:</code>
📣 <code>:mega:</code>
📤 <code>:outbox_tray:</code>
📥 <code>:inbox_tray:</code>
📧 <code>:e-mail:</code>
📧 <code>:email:</code>
📨 <code>:incoming_envelope:</code>
📪 <code>:mailbox_closed:</code>
📫 <code>:mailbox:</code>
📬 <code>:mailbox_with_mail:</code>
📭 <code>:mailbox_with_no_mail:</code>
📮 <code>:postbox:</code>
📯 <code>:postal_horn:</code>
📰 <code>:newspaper:</code>
📱 <code>:iphone:</code>
📲 <code>:calling:</code>
📳 <code>:vibration_mode:</code>
📴 <code>:mobile_phone_off:</code>
📵 <code>:no_mobile_phones:</code>
📶 <code>:signal_strength:</code>
📷 <code>:camera:</code>
📹 <code>:video_camera:</code>
📺 <code>:tv:</code>
📻 <code>:radio:</code>
